"","eff.diff","trt.noise","min.samp","eff.size","Effect Difference"
"1","-5",1,3,"-5","-5"
"2","-5",2,4,"-5","-5"
"3","-5",3,5,"-5","-5"
"4","-5",4,6,"-5","-5"
"5","-5",5,11,"-5","-5"
"6","-5",6,11,"-5","-5"
"7","-5",7,17,"-5","-5"
"8","-5",8,20,"-5","-5"
"9","-5",9,24,"-5","-5"
"10","-5",10,26,"-5","-5"
"11","-4",1,2,"-4","-4"
"12","-4",2,4,"-4","-4"
"13","-4",3,6,"-4","-4"
"14","-4",4,8,"-4","-4"
"15","-4",5,9,"-4","-4"
"16","-4",6,9,"-4","-4"
"17","-4",7,14,"-4","-4"
"18","-4",8,17,"-4","-4"
"19","-4",9,23,"-4","-4"
"20","-4",10,30,"-4","-4"
"21","-3",1,2,"-3","-3"
"22","-3",2,5,"-3","-3"
"23","-3",3,5,"-3","-3"
"24","-3",4,9,"-3","-3"
"25","-3",5,12,"-3","-3"
"26","-3",6,12,"-3","-3"
"27","-3",7,16,"-3","-3"
"28","-3",8,19,"-3","-3"
"29","-3",9,25,"-3","-3"
"30","-3",10,28,"-3","-3"
"31","-2",1,3,"-2","-2"
"32","-2",2,4,"-2","-2"
"33","-2",3,8,"-2","-2"
"34","-2",4,14,"-2","-2"
"35","-2",5,15,"-2","-2"
"36","-2",6,19,"-2","-2"
"37","-2",7,29,"-2","-2"
"38","-2",8,32,"-2","-2"
"39","-2",9,33,"-2","-2"
"40","-2",10,53,"-2","-2"
"41","-1",1,3,"-1","-1"
"42","-1",2,6,"-1","-1"
"43","-1",3,20,"-1","-1"
"44","-1",4,27,"-1","-1"
"45","-1",5,33,"-1","-1"
"46","-1",6,62,"-1","-1"
"47","-1",7,73,"-1","-1"
"48","-1",8,90,"-1","-1"
"49","-1",9,119,"-1","-1"
"50","-1",10,142,"-1","-1"
